10043	4838141	 D529263	 D517789	 D545032	 D545033																																																																																																																															
10044	E40009	2154245	6255662	6163033	6437350	3769596																																																																																																																														
10045	5019090																																																																																																																																			
10046	0																																																																																																																																			
10047	7076939	6705070	4835763	4893306	7441394																																																																																																																															
10048	6216114	6499018																																																																																																																																		
10049	E37332	5815218	6064538	6421210	6021018	7216698	5987209																																																																																																																													
1004	0																																																																																																																																			
10050	5487069																																																																																																																																			
10051	7107385	83037	6173293	3311722	6040967	6868417	6864766	7313720	5819292	6246558	6857001	6282070	5944789	7072916																																																																																																																						
10052	6415335	5894554																																																																																																																																		
10053	0																																																																																																																																			
10054	6401419	6316460	5574192	 E37314	6730817																																																																																																																															
10055	6426916	6314051	6981126	6452863	6601156	6324120	6751696	6266285	6378020	7054222	7149857	7210020	6546446	6182184																																																																																																																						
10056	4572191	4407288	1801525	4316472	4223678	4582191																																																																																																																														
10057	741330	6773859	9672	6238837	4429027	5719009	6171758	5840463	5607814	5925500	665471	3060024	3060025	3264103	5888697	5175072	5262275	665469																																																																																																																		
10058	6279033	2245263	6567796	2699372	6658432																																																																																																																															
10059	99601	6249876																																																																																																																																		
1005	1022536																																																																																																																																			
10060	5313381	1897165	6107851	4638417	6249876																																																																																																																															
10061	5867977	5930990																																																																																																																																		
10062	4330323	6847686																																																																																																																																		
10063	6678248	5195181	5430727	2273682	6104700	6859438	4960850																																																																																																																													
10064	6314366	6405132	5392052	7295925	5351194																																																																																																																															
10065	6143164	5628890	6592745	5820551																																																																																																																																
10066	5400525	6076276	6073367	6073364	6233843	5135271																																																																																																																														
10067	0																																																																																																																																			
10068	5697588	6983917	6854698	7066433	6955328	6478274	6505988	7017874																																																																																																																												
10069	5606133	5323655																																																																																																																																		
1006	8135398	7957733	8145268	7899492	8417290	8050711	8224381																																																																																																																													
10070	0																																																																																																																																			
10071	P02911	6419958	6403120	 P00879	6274171	 P00081																																																																																																																														
10072	5792659	3100280	5812127	5530961	6840710	5831608	6295075	7192218																																																																																																																												
10073	6135171	6000533	5553968	1803689	6176368	3731397	3305128																																																																																																																													
10074	5557891																																																																																																																																			
10075	5767225																																																																																																																																			
10076	6055832	6672115	7225649	7165426																																																																																																																																
10077	6279621																																																																																																																																			
10078	6170696	6976604	7185784	3773207	3891543	4756440	2833324																																																																																																																													
10079	6714933	7082426																																																																																																																																		
1007	5754348	5148155	6412953	5844264	6023081	6121960	6221686	5818455	7733368	7365298	6181836	6979587																																																																																																																								
10080	6983917	6854698	7066433	6955328	6478274	6505988	7017874																																																																																																																													
10081	5880411	5825352	5543591	6380931	5943052																																																																																																																															
10082	0																																																																																																																																			
10083	0																																																																																																																																			
10084	0																																																																																																																																			
10085	5701400	5293615	5537590																																																																																																																																	
10086	3983716	4907322	7007507	2908734	5253341																																																																																																																															
10087	D479507																																																																																																																																			
10088	5528741	6650327	6567083	6885376																																																																																																																																
10089	0																																																																																																																																			
1008	6521247																																																																																																																																			
10090	0																																																																																																																																			
10091	6120447	6490684	6364839	 D474599	6012859	6102859	5965505	6418225	6962566	 D475748	6471651	6120477	5584294	6210327	4932415	5956505	6569101																																																																																																																			
10092	6604537	881092	6155281	4709928	4825892	5024262	6884311	5611380	4815784	6611380	6667093	6266904																																																																																																																								
10093	6993858	5252499	5894554	6415335	4781930	 D517789	4904618																																																																																																																													
10094	6929807	3501089	5446758	6198776	2229783	5428641	5048054	4679227	6669163	7157431																																																																																																																										
10095	5361111	5381200	4855774	5063400	5436685	4972649	4884087	4954857	1777471	5235364	4833495	5408288																																																																																																																								
